交易日期,原版策略 (baseline),行业热度-top-30%,行业热度-top-40%,行业热度-top-50%,行业热度-bottom-30%,行业热度-bottom-40%
2017-01-26,117.71599856739543,89.42921470046208,65.79215961254884,38.89544853746181,136.97573748654597,190.9276031457655
2017-02-28,109.25937554988171,84.07559619740232,62.44992077909801,36.91956145134162,127.18647448475771,178.00101189446374
2017-03-31,93.68144833335974,73.29908425976322,54.44531127028837,32.1873429157914,108.92122802144657,151.4231806207812
2017-04-28,84.77390777497544,68.10619499113137,50.42998320994904,28.931714051818535,98.56463903258306,137.02536603897087
2017-05-31,88.03220203778176,70.61494938620865,52.28761807030363,29.997440375159165,102.48604400858054,143.88709444850053
2017-06-30,83.40572469459968,68.04602283341933,49.87030318616409,28.610625259437835,96.7709110781179,136.15994022307618
2017-07-31,90.25769795567354,73.63616104856271,52.29740595022181,30.14162671671863,100.09884699911187,140.84245846146476
2017-08-31,92.27270805954682,72.74269840280783,51.662856592663815,29.838393237017065,96.53113341064122,135.8225649466969
2017-09-29,92.3924491955015,72.83709569017844,51.72989883370304,29.842004233009305,95.35950503711682,134.6697492711557
2017-10-31,83.78673466453884,67.39317250716054,47.86355033576396,27.6115806125669,85.80253264076175,121.17308655350065
2017-11-30,83.87245369230408,67.46211990376763,48.00687767873201,27.16273431303906,86.06707101868153,121.85501223221719
2017-12-29,81.25106664186615,65.12854060077893,46.346273827089,26.223149332669227,82.21000126545997,116.39411671902712
2018-01-31,75.20376946904746,60.10634225630755,42.77241546116025,24.201027295993615,74.63754921136804,105.67292885056857
2018-02-28,88.41496365374387,73.44250292043593,52.26259209094879,28.879051007040704,87.74927436906853,124.23670022754808
2018-03-30,87.18806086743135,70.63774607276059,49.906971991139955,27.577392013602232,86.5316091145542,120.77740090462999
2018-04-27,104.61501057475698,84.75665680436366,59.88226312941766,33.08949790171209,103.82734875058269,144.91811088723637
2018-05-31,89.03688127569384,72.13561751563572,50.96524794559774,28.845534101626278,90.65591941449298,126.53395025865119
2018-06-29,92.84068478049218,74.43863498560698,52.97872275463739,29.27654357694583,95.17051185906462,132.8352400090498
2018-07-31,75.16914052136697,60.26978610381347,42.894610965026615,25.214236255203584,81.96499577336529,112.91691947770121
2018-08-31,76.39328455336714,61.251291259482215,43.593158023747876,25.624854982771396,84.01576304605834,115.7421050439699
2018-09-28,75.9095883581237,61.00726932612839,41.51229491141979,24.401685616070367,83.48380391950103,115.00926555203621
2018-10-31,81.26010427054055,63.0005962372117,42.86865089164591,25.198976449631342,89.11039484624985,122.76059047574364
2018-11-30,74.95074576728891,58.567798870512846,41.299207433374285,26.682178667998627,82.19150848130674,113.2289687490026
2018-12-28,76.37767301369571,57.889910816052804,40.821193235851716,26.373348038628478,84.6449587952623,116.60890001026284
2019-01-31,93.62267928815707,73.14207431151083,52.144227439089825,33.68882066996304,103.75660213197504,142.93755252072137
2019-02-28,101.68553778516414,78.06527042401285,55.003874382134335,35.53635275117314,114.53983615595837,157.79279110771583
2019-03-29,117.55155626142897,86.87687089335185,61.21242477449925,39.54751086130394,132.04936628989486,171.4303407249175
2019-04-30,117.74150750656453,87.01725499650207,60.29507659502189,38.95483972917471,130.95143429795976,170.00497337361182
2019-05-31,117.82947755734418,86.15180551548947,59.69539848808925,38.56740569867238,134.03553190634761,174.00883888762064
2019-06-28,116.4204167634148,84.58114106722078,58.60707027988221,37.864269500534675,132.43267142594883,175.5666262957341
2019-07-31,110.6671087489918,80.40127837389286,55.71080400187778,35.99307876583395,126.23662141819618,167.35249314786466
2019-08-30,111.01965068794173,80.6574052655448,55.8882767404837,36.10773857686837,125.84165042712729,166.82887821478207
2019-09-30,125.78923669231195,91.3452789528642,63.29400520940342,40.892357518846346,124.08516062723726,165.38354146067624
2019-10-31,122.02288424956944,88.6102395841251,61.70755284977619,40.42690463528822,118.50820317736854,157.95044495685198
2019-11-29,129.41002460189432,95.51123138936325,67.31568742277484,44.10100142075654,122.76819877224754,163.62826456498746
