breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
20,8,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
8,5,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
20,5,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
20,5,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
8,5,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
10,8,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
10,8,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
20,8,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
10,5,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
15,5,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
15,8,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
8,8,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
8,5,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
20,5,60,0.7,-2.357855044074464,,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355,6.81,-0.1391,0.9477,-0.02357855044074464,-0.02494647983595355
20,3,40,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
15,3,40,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
20,3,30,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
8,3,30,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
15,3,30,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
8,3,40,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
10,3,30,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
10,3,40,0.3,-2.8378550440744554,,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356,8.7,-0.1059,0.9220999999999999,-0.028378550440744554,-0.05814647983595356
15,5,60,0.5,-4.29785504407445,,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554
20,8,60,0.5,-4.29785504407445,,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554
20,5,60,0.5,-4.29785504407445,,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554
8,5,60,0.5,-4.29785504407445,,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554
15,8,60,0.5,-4.29785504407445,,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554
10,8,60,0.5,-4.29785504407445,,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554,6.9,-0.1225,0.8459,-0.0429785504407445,-0.041546479835953554
