,NDX,SPX,Position,QQQ_weight,ret_ndx,ret_spx,pos_l,qw_l,cash_ret,asset_ret,strat_ret,turnover,strat_nv,bh_ndx_nv,bh_spx_nv
2025-01-22,21853.0,6086.37,1.3,1.0,0.013284022310517729,0.006137961132307579,1.3,1.0,0.0001556498627912628,0.013284022310517729,0.01720970519414924,0.0,4.203533563695905,5.017795228582589,2.9718023085486593
2025-01-23,21900.93,6118.71,1.3,1.0,0.0021932915389191177,0.00531351199483443,1.3,1.0,0.0001556498627912628,0.0021932915389191177,0.0027917551910710435,0.0,4.215268800343194,5.028800716401467,2.9875930157614095
2025-01-24,21774.01,6101.24,1.3,1.0,-0.005795187692942849,-0.0028551769899211044,1.3,1.0,0.0001556498627912628,-0.005795187692942849,-0.007593267810349514,0.0,4.183261135449578,4.999657872379515,2.9790629089275584
2025-01-27,21127.28,6012.28,1.3,1.0,-0.029701924450296513,-0.0145806426234667,1.3,1.0,0.0001556498627912628,-0.029701924450296513,-0.03867202559490927,0.0,4.021485953749282,4.851158411976769,2.9356262572996608
2025-01-28,21463.04,6067.7,1.3,1.0,0.015892249262564828,0.009217800900823026,1.3,1.0,0.0001556498627912628,0.015892249262564828,0.020600400231810468,0.0,4.104330173923122,4.928254230672092,2.9626862756586774
2025-01-29,21411.46,6039.31,1.3,1.0,-0.002403201037690872,-0.004678873378710091,1.3,1.0,0.0001556498627912628,-0.002403201037690872,-0.0031836851585219433,0.0,4.091263278862729,4.916410644990936,2.9488242417140285
2025-01-30,21508.12,6071.17,1.3,1.0,0.004514404902794977,0.0052754370946348494,1.3,1.0,0.0001556498627912628,0.004514404902794977,0.005809202564109661,0.0,4.115030255992746,4.938605313310837,2.964380578504325
2025-01-31,21478.05,6040.53,1.3,1.0,-0.001398076633383094,-0.005046803169735048,1.3,1.0,0.0001556498627912628,-0.001398076633383094,-0.0018770234329218319,0.0,4.107306247775066,4.931700764620795,2.9494199332044286
2025-02-03,21297.58,5994.57,1.3,1.0,-0.008402531887205633,-0.007608603880785325,1.3,1.0,0.0001556498627912628,-0.008402531887205633,-0.010982815262891132,0.0,4.062196462027633,4.890261991687913,2.926978965254584
2025-02-04,21566.92,6037.88,1.3,1.0,0.01264650725575378,0.007224871842350655,1.3,1.0,0.0001556498627912628,0.01264650725575378,0.016380935622956106,0.0,4.128739040759908,4.952106725448331,2.9481260131638045
